campaign_name,adset_name,ad_name,channel,attributed,orders,attributed_orders,total_sales,total_cogs,spend,net_profit,roas,ctr,conversion_rate,avg_order_value,profit_margin,impressions,clicks,all_skus,total_unique_skus,total_sku_quantity
TH-068-WILD – Life Time,ICP Pet Parent,TH-068-WILD_VP001_ET101,Facebook,True,9.0,9.0,20590.0,7668.0,17063.01,-4141.009999999998,1.2067038582289995,1.5737957419322781,0.7103393843725335,2287.777777777778,-20.111753278290426,80506.0,1267.0,"TH-068-WILD-M, TH-068-WILD-L, TH-053-COAT-XL, TH-068-WILD-S, TH-068-WILD-XXL, TH-068-WILD-XL",10.0,10.0
TH-053-JACKET,Backpacking,TH-053-JACKET_ET156_IM259,Instagram,True,7.0,7.0,18492.0,6307.0,14766.439999999999,-2581.4399999999987,1.252299132356885,1.261874379696583,0.7865168539325843,2641.714285714286,-13.959766385463979,70530.0,890.0,"TH-053-COAT-XXL, TH-053-COAT-XL, TH-053-COAT-S, TH-053-COAT-XXXL",8.0,8.0
TH-053-JACKET,ICP Pet Parent,TH-053-JACKET_ET156_IM259,Instagram,True,6.0,6.0,15292.0,5661.0,8461.69,1169.3099999999995,1.8072039982556676,1.347202371499656,1.1787819253438114,2548.6666666666665,7.64654721422966,37782.0,509.0,"TH-053-COAT-M, TH-053-COAT-XXXL, TH-037-MISTBRU, TH-008-CLIBRU, TH-068-WILD-XXL, TH-068-WILD-XL, TH-028-COMCARE",8.0,8.0
TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,Facebook,True,7.0,7.0,14093.0,5275.0,17654.47,-8836.470000000001,0.7982680873455844,1.4412985680302253,0.5663430420711975,2013.2857142857142,-62.70112821968355,85756.0,1236.0,"TH-068-WILD-L, TH-063-SILBOO-XXL, TH-068-WILD-S, TH-068-WILD-XXL, TH-068-WILD-XL",7.0,7.0
TH-068-WILD,Urban Pet Parents,TH-068-WILD_VP001_ET101,Facebook,True,4.0,4.0,11294.0,4360.0,1186.27,5747.73,9.520598177480675,1.9425173439048562,4.081632653061225,2823.5,50.89188949884894,5045.0,98.0,"TH-038-PAWTR, TH-012-SNUGBOO-M, TH-053-COAT-XL, TH-068-WILD-XXL, TH-068-WILD-XL",6.0,6.0
TH-063-SILBOO,Adventure Trekkers,TH-063-SILBOO,Instagram,True,5.0,5.0,11111.0,4328.0,3719.83,3063.17,2.9869644580531904,2.9484816921721015,1.358695652173913,2222.2,27.56880568805688,12481.0,368.0,"TH-068-WILD-M, TH-016-SIPBOT, TH-037-MISTBRU, TH-008-CLIBRU, TH-002-SKMISH, TH-063-SILBOO-M, TH-068-WILD-XXL, TH-063-SILBOO-L, TH-063-SILBOO-XS",9.0,9.0
TH-063-SILBOO,ICP Pet Parent,TH-063-SILBOO,Instagram,True,6.0,6.0,10394.0,4063.0,3768.95,2562.05,2.7577972644901103,2.9422916508682793,1.5463917525773196,1732.3333333333333,24.649316913604004,13187.0,388.0,"TH-068-WILD-L, TH-012-SNUGBOO-XXL, TH-063-SILBOO-XL, TH-063-SILBOO-M, TH-063-SILBOO-L",6.0,6.0
TH-053-JACKET,Backpacking,TH-053-JACKET_ET156_IM259,Facebook,True,5.0,5.0,10195.0,3450.0,14766.439999999999,-8021.439999999999,0.6904169183635325,1.261874379696583,0.5617977528089888,2039.0,-78.68013732221677,70530.0,890.0,"TH-053-COAT-XXL, TH-053-COAT-XL, TH-037-MISTBRU",5.0,5.0
TH-073-SMARTSIP,ICP Pet Parent,TH-073-SMARTSIP_VP048_ET122,Instagram,True,3.0,3.0,6297.0,3363.0,3933.99,-999.9899999999998,1.6006649737289622,1.3249956270771384,0.9900990099009901,2099.0,-15.880419247260596,22868.0,303.0,TH-073-SMARTSIP,3.0,3.0
TH-068-WILD – Life Time,ICP Pet Parent,TH-068-WILD_VP001_ET101,Direct/Unknown,True,3.0,3.0,6097.0,2233.0,17063.01,-13199.009999999998,0.35732265291997134,1.5737957419322781,0.23677979479084454,2032.3333333333333,-216.48368049860585,80506.0,1267.0,"TH-053-COAT-L, TH-068-WILD-XL",3.0,3.0
TH-053-JACKET,ICP Pet Parent,TH-053-JACKET_ET156_IM259,Facebook,True,3.0,3.0,5497.0,1933.0,8461.69,-4897.6900000000005,0.649633820194311,1.347202371499656,0.5893909626719057,1832.3333333333333,-89.09750773148991,37782.0,509.0,"TH-053-COAT-L, TH-038-PAWTR, TH-053-COAT-XXXL",3.0,3.0
TH-068-WILD,Remarketing-Custom Audience,TH-068-WILD_VP001_ET101,Facebook,True,1.0,1.0,5497.0,2089.0,6273.43,-2865.4300000000003,0.8762351695962176,1.4372999709048588,0.4048582995951417,5497.0,-52.12716026923777,17185.0,247.0,"TH-068-WILD-M, TH-068-WILD-S",2.0,3.0
TH - Adv+ Shopping-2 - Video & Image - IG & FB - India - Sales - 04/05/2025,1MHO - Adv+ (Exc. Purchases (30D)),TH-037-MISTBRU-ET101-SI210-ET137-ET139 – Copy 2,Instagram,True,5.0,5.0,4794.0,1266.0,7819.81,-4291.81,0.6130583735410451,1.2656558998022414,2.604166666666667,958.8,-89.52461410095954,15170.0,192.0,TH-037-MISTBRU,5.0,6.0
