campaign_name,adset_name,ad_name,channel,attributed,orders,attributed_orders,total_sales,total_cogs,spend,net_profit,roas,ctr,conversion_rate,avg_order_value,profit_margin,impressions,clicks,all_skus,total_unique_skus,total_sku_quantity
TH-063-SILBOO,ICP Pet Parent,TH-063-SILBOO,Facebook,True,1.0,1.0,1599.0,582.0,883.47,133.52999999999997,1.8099086556419572,3.146633102580239,1.0,1599.0,8.350844277673545,3178.0,100.0,TH-063-SILBOO-L,1.0,1.0
TH-063-SILBOO,Urban Pet Parents,TH-063-SILBOO,Instagram,True,1.0,1.0,1399.0,541.0,1036.52,-178.51999999999998,1.349708640450739,3.088803088803089,1.0416666666666665,1399.0,-12.760543245175123,3108.0,96.0,TH-063-SILBOO-S,1.0,1.0
TH - Remarketing - Video - India - IG & FB - Sales - 29/03/2025,AS3 - Remarketing IC (30) – New,TH-036-PAWTR-ET139-SP368,Instagram,True,1.0,1.0,1099.0,397.0,2306.18,-1604.1799999999998,0.4765456295692444,1.242949655316482,0.8403361344537815,1099.0,-145.96724294813467,9574.0,119.0,TH-038-PAWTR,1.0,1.0
TH - Adv+ Shopping-2 - Video & Image - IG & FB - India - Sales - 04/05/2025,1MHO - Adv+ (Exc. Purchases (30D)),TH-037-MISTBRU-ET101-SI210-ET137-ET139 – Copy 2,Facebook,True,1.0,1.0,799.0,211.0,3342.4700000000003,-2754.4700000000003,0.2390447782627817,1.03308326159144,1.1904761904761905,799.0,-344.7396745932416,8131.0,84.0,TH-037-MISTBRU,1.0,1.0
TH-068-WILD,Adventure Trekkers,TH-068-WILD_VP001_ET101,Direct/Unknown,True,1.0,1.0,549.0,196.0,2490.5099999999998,-2137.5099999999998,0.2204367780093234,1.5772680753717416,0.38167938931297707,549.0,-389.3460837887067,16611.0,262.0,TH-010-PETWIP,1.0,1.0
TH-053-JACKET – Alt Twin,Backpacking,TH-053-JACKET_ET156_IM259,Unknown,True,0.0,0.0,0.0,0.0,245.84,-245.84,0.0,1.1479591836734695,0.0,0.0,0.0,784.0,9.0,,0.0,0.0
TH-002-SKMISH,TH-002-SKMISH-ST-CRO,TH-002-SKMISH,Unknown,True,0.0,0.0,0.0,0.0,89.85,-89.85,0.0,1.917776757005053,0.0,0.0,0.0,17416.0,334.0,,0.0,0.0
R15D2-TH-D2 RPP - Video - India - IG & FB - Sales - 22/04/2025,Top Cities -Broad,TH-012-SNUGBOO_Static,Unknown,True,0.0,0.0,0.0,0.0,5082.8,-5082.8,0.0,1.6376582278481013,0.0,0.0,0.0,12640.0,207.0,,0.0,0.0
TH-068-WILD – DUP,ICP Pet Parent,TH-068-WILD_VP001_ET101,Unknown,True,0.0,0.0,0.0,0.0,162.0,-162.0,0.0,1.6194331983805668,0.0,0.0,0.0,494.0,8.0,,0.0,0.0
TH-068-WILD – DUP,Urban Pet Parents,TH-068-WILD_VP001_ET101,Unknown,True,0.0,0.0,0.0,0.0,233.84,-233.84,0.0,2.2974607013301087,0.0,0.0,0.0,827.0,19.0,,0.0,0.0
