campaign_name,adset_name,ad_name,date_start,hourly_window,start_hour,end_hour,channel,impressions,clicks,spend,ctr,cpm,cpc,fb_action_onsite_web_purchase,fb_value_onsite_web_purchase,fb_roas,shopify_orders,shopify_revenue,shopify_cogs,shopify_profit,shopify_roas,shopify_conversion_rate,shopify_avg_order_value,revenue_difference,orders_difference,roas_difference,unique_skus,unique_sku_count,total_sku_quantity,utm_source,utm_medium,utm_campaign,utm_content,utm_term,order_ids,order_count
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,21:00:00 - 21:59:59,,,Instagram,1352,23,190.68,1.7012,141.0328,8.2903,,,,2,4897.0,1762.0,3135.0,25.68177050555905,8.695652173913043,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,20:00:00 - 20:59:59,,,Instagram,1590,24,158.57,1.5094,99.7264,6.6069,,,,2,4897.0,1762.0,3135.0,30.882260200542348,8.333333333333332,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,09:00:00 - 09:59:59,,,Instagram,739,14,109.68,1.8945,148.413,7.8341,,,,2,4897.0,1762.0,3135.0,44.64806710430342,14.285714285714285,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,12:00:00 - 12:59:59,,,Instagram,88,1,17.84,1.1364,202.6982,17.8374,3.0,7595.0,425.7286995515695,2,4897.0,1762.0,3135.0,274.49551569506724,200.0,2448.5,-2698.0,-1.0,-151.23318385650225,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,10:00:00 - 10:59:59,,,Instagram,605,9,99.02,1.4876,163.6641,11.0019,,,,2,4897.0,1762.0,3135.0,49.454655625126236,22.22222222222222,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,03:00:00 - 03:59:59,,,Instagram,18,1,1.58,5.5556,87.8637,1.5815,,,,2,4897.0,1762.0,3135.0,3099.3670886075947,200.0,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,16:00:00 - 16:59:59,,,Instagram,615,6,49.36,0.9756,80.2573,8.2264,,,,2,4897.0,1762.0,3135.0,99.20988654781199,33.33333333333333,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,23:00:00 - 23:59:59,,,Instagram,31,1,1.85,3.2258,59.7358,1.8518,,,,2,4897.0,1762.0,3135.0,2647.027027027027,200.0,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,04:00:00 - 04:59:59,,,Instagram,12,0,6.13,0.0,510.4991,,,,,2,4897.0,1762.0,3135.0,798.8580750407831,0.0,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,07:00:00 - 07:59:59,,,Instagram,75,1,9.27,1.3333,123.5875,9.2691,,,,2,4897.0,1762.0,3135.0,528.2632146709817,200.0,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
