campaign_name,adset_name,ad_name,channel,attributed,orders,attributed_orders,total_sales,total_cogs,spend,net_profit,roas,ctr,conversion_rate,avg_order_value,profit_margin,impressions,clicks,all_skus,total_unique_skus,total_sku_quantity
TH - Remarketing - Video - India - IG & FB - Sales - 29/03/2025,AS3 - Remarketing IC (30) – New,TH-036-PAWTR-ET139-SP368,Unknown,True,0.0,0.0,0.0,0.0,3359.7799999999997,-3359.7799999999997,0.0,1.3574660633484164,0.0,0.0,0.0,13481,183,,0.0,0.0
TH-002-SKMISH,TH-002-SKMISH-ST-CRO,TH-002-SKMISH,Unknown,True,0.0,0.0,0.0,0.0,89.85,-89.85,0.0,1.917776757005053,0.0,0.0,0.0,17416,334,,0.0,0.0
TH-075-NAPDEN,Luxury Buyers,TH-075-NAPDEN_SI223_VP031,Unknown,True,0.0,0.0,0.0,0.0,3407.31,-3407.31,0.0,2.6308010641442507,0.0,0.0,0.0,6766,178,,0.0,0.0
TH-075-NAPDEN,Urban Pet Parents,TH-075-NAPDEN_SI223_VP031,Unknown,True,0.0,0.0,0.0,0.0,1283.76,-1283.76,0.0,3.280224929709466,0.0,0.0,0.0,2134,70,,0.0,0.0
TH-053-JACKET – Alt Twin,Backpacking,TH-053-JACKET_ET156_IM259,Unknown,True,0.0,0.0,0.0,0.0,2253.14,-2253.14,0.0,1.2962409013859806,0.0,0.0,0.0,10029,130,,0.0,0.0
TH-053-JACKET – Alt Twin,Tier 2 & 3 Pet Parents,TH-053-JACKET_ET156_IM259,Unknown,True,0.0,0.0,0.0,0.0,2220.47,-2220.47,0.0,1.4491440992663707,0.0,0.0,0.0,11041,160,,0.0,0.0
TH-012-SNUGBOO- Alternate Twin,Remarketing,TH-012-SNUGBOO,Unknown,True,0.0,0.0,0.0,0.0,710.27,-710.27,0.0,2.385238523852385,0.0,0.0,0.0,2222,53,,0.0,0.0
TH-012-SNUGBOO- Alternate Twin,Luxury Spenders,TH-012-SNUGBOO,Unknown,True,0.0,0.0,0.0,0.0,2256.1499999999996,-2256.1499999999996,0.0,2.532457124539189,0.0,0.0,0.0,6239,158,,0.0,0.0
TH-012-SNUGBOO- Alternate Twin,Tier 2 Pet Parents,TH-012-SNUGBOO,Unknown,True,0.0,0.0,0.0,0.0,394.75,-394.75,0.0,2.510460251046025,0.0,0.0,0.0,1912,48,,0.0,0.0
TH-072-AEROPOD,ICP Pet Parent,TH-072-AEROPOD_ET113_IM253,Unknown,True,0.0,0.0,0.0,0.0,2068.66,-2068.66,0.0,2.2381276982503975,0.0,0.0,0.0,8802,197,,0.0,0.0
TH-072-AEROPOD,Frequent Travellers,TH-072-AEROPOD_ET113_IM253,Unknown,True,0.0,0.0,0.0,0.0,4059.61,-4059.61,0.0,2.92273031723802,0.0,0.0,0.0,16423,480,,0.0,0.0
TH-072-AEROPOD,Urban Pet Parents,TH-072-AEROPOD_ET113_IM253,Unknown,True,0.0,0.0,0.0,0.0,1540.87,-1540.87,0.0,1.965531975502065,0.0,0.0,0.0,7021,138,,0.0,0.0
TH-063-SILBOO,Urban Pet Parents,TH-063-SILBOO,Unknown,True,0.0,0.0,0.0,0.0,3050.54,-3050.54,0.0,2.925639983746444,0.0,0.0,0.0,9844,288,,0.0,0.0
TH-063-SILBOO,ICP Pet Parent,TH-063-SILBOO,Unknown,True,0.0,0.0,0.0,0.0,3768.95,-3768.95,0.0,2.9422916508682793,0.0,0.0,0.0,13187,388,,0.0,0.0
TH-063-SILBOO,Adventure Trekkers,TH-063-SILBOO,Unknown,True,0.0,0.0,0.0,0.0,3719.83,-3719.83,0.0,2.9484816921721015,0.0,0.0,0.0,12481,368,,0.0,0.0
TH-073-SMARTSIP – Life Time,Remarketing,TH-073-SMARTSIP_ET104_TM066,Unknown,True,0.0,0.0,0.0,0.0,859.6100000000001,-859.6100000000001,0.0,1.6291469194312798,0.0,0.0,0.0,3376,55,,0.0,0.0
TH-073-SMARTSIP – Life Time,Urban Pet Parents,TH-073-SMARTSIP_ET104_TM066,Unknown,True,0.0,0.0,0.0,0.0,479.15999999999997,-479.15999999999997,0.0,1.3662013662013661,0.0,0.0,0.0,3367,46,,0.0,0.0
